,match_id,player_slot,assists,deaths,denies,duration,tower_damage,gold_per_min,hero_damage,hero_id,last_hits,level,kills,xp_per_min,kda,hero_healing,abandons,win
0,6003387418,0,1,4,0,1016,2187,431,7174,23,71,11,6,423,1,0,0,1
1,6003387418,1,3,0,9,1016,3420,468,9565,11,83,12,4,452,7,0,0,1
2,6003387418,2,2,1,1,1016,3171,363,173,38,61,9,0,288,1,0,0,1
3,6003387418,3,7,2,3,1016,3082,326,5902,62,18,9,1,273,2,0,0,1
4,6003387418,4,2,2,8,1016,3740,443,5446,53,78,9,4,315,2,0,0,1
5,6003387418,128,0,1,6,1016,0,290,440,82,72,9,0,273,0,0,0,0
6,6003387418,129,3,2,0,1016,0,289,5569,101,9,7,2,192,1,0,0,0
7,6003387418,130,3,7,5,1016,0,240,2383,42,39,8,1,223,0,0,1,0
8,6003387418,131,1,4,1,1016,0,692,4506,32,16,9,4,323,1,0,0,0
9,6003387418,132,3,2,0,1016,0,279,2231,87,2,6,1,143,1,0,0,0
0,6003387606,0,4,0,2,1060,1537,303,7240,101,15,9,5,283,9,0,0,1
1,6003387606,1,5,2,8,1060,2553,476,7785,99,96,11,5,409,3,0,0,1
2,6003387606,2,1,0,18,1060,9118,552,7405,76,124,14,5,578,6,0,0,1
3,6003387606,3,1,1,10,1060,349,514,6008,109,139,13,5,496,3,0,0,1
4,6003387606,4,6,1,3,1060,1181,259,3885,26,17,10,1,346,3,0,0,1
5,6003387606,128,1,3,0,1060,0,237,1646,106,59,8,0,224,0,0,1,0
6,6003387606,129,1,7,1,1060,0,225,3313,25,20,7,1,175,0,0,0,0
7,6003387606,130,1,7,2,1060,228,269,2067,93,66,9,0,302,0,0,0,0
8,6003387606,131,1,3,3,1060,0,173,5319,86,12,8,1,250,0,400,0,0
9,6003387606,132,1,1,2,1060,0,257,3193,135,62,9,1,263,1,400,0,0
0,6003387418,0,1,4,0,1016,2187,431,7174,23,71,11,6,423,1,0,0,1
1,6003387418,1,3,0,9,1016,3420,468,9565,11,83,12,4,452,7,0,0,1
2,6003387418,2,2,1,1,1016,3171,363,173,38,61,9,0,288,1,0,0,1
3,6003387418,3,7,2,3,1016,3082,326,5902,62,18,9,1,273,2,0,0,1
4,6003387418,4,2,2,8,1016,3740,443,5446,53,78,9,4,315,2,0,0,1
5,6003387418,128,0,1,6,1016,0,290,440,82,72,9,0,273,0,0,0,0
6,6003387418,129,3,2,0,1016,0,289,5569,101,9,7,2,192,1,0,0,0
7,6003387418,130,3,7,5,1016,0,240,2383,42,39,8,1,223,0,0,1,0
8,6003387418,131,1,4,1,1016,0,692,4506,32,16,9,4,323,1,0,0,0
9,6003387418,132,3,2,0,1016,0,279,2231,87,2,6,1,143,1,0,0,0
0,6003387401,0,13,0,0,638,1453,415,7188,7,9,7,8,310,21,0,0,1
1,6003387401,1,5,0,5,638,4084,564,5873,89,52,9,5,455,10,0,0,1
2,6003387401,2,12,0,5,638,5325,678,10358,13,59,9,11,443,23,0,0,1
3,6003387401,3,6,1,12,638,1947,612,5488,44,49,9,9,435,7,0,0,1
4,6003387401,4,17,0,1,638,1263,360,3385,112,6,7,3,347,20,5219,0,1
5,6003387401,128,1,11,0,638,0,146,957,93,10,4,0,106,0,0,1,0
6,6003387401,129,1,4,2,638,0,469,806,26,2,3,0,84,0,0,0,0
7,6003387401,130,0,8,0,638,0,146,1354,105,6,3,1,100,0,0,0,0
8,6003387401,131,0,8,1,638,0,185,1597,45,10,4,0,108,0,0,0,0
9,6003387401,132,0,7,3,638,0,176,1068,39,15,5,0,181,0,0,0,0
0,6003386715,0,1,1,2,723,0,190,2786,5,12,6,1,203,1,0,0,0
1,6003386715,1,2,0,18,723,0,400,1731,126,76,10,1,501,3,0,0,0
2,6003386715,2,2,2,0,723,0,324,1560,16,9,7,0,297,0,0,0,0
3,6003386715,3,1,1,9,723,395,367,4505,53,41,6,3,227,2,0,0,0
4,6003386715,4,0,4,15,723,0,226,1899,89,31,7,0,283,0,0,1,0
5,6003386715,128,2,1,14,723,0,322,2848,8,51,8,1,351,1,116,0,1
6,6003386715,129,0,0,1,723,349,413,1624,94,101,11,0,585,0,0,0,1
7,6003386715,130,1,1,9,723,0,171,4420,30,9,6,1,241,1,95,0,1
8,6003386715,131,3,1,10,723,0,256,2788,14,27,8,2,352,2,240,0,1
9,6003386715,132,2,3,0,723,0,258,6945,105,17,7,3,289,1,0,0,1
0,6003386214,0,16,2,0,1227,1578,304,5558,85,10,12,3,406,6,4496,0,1
1,6003386214,1,21,4,3,1227,245,347,8491,88,14,14,5,505,5,240,0,1
2,6003386214,2,4,1,27,1227,14734,714,16866,59,151,18,13,740,8,0,0,1
3,6003386214,3,8,3,10,1227,3267,539,16372,123,92,15,13,546,5,0,0,1
4,6003386214,4,9,1,10,1227,3932,554,11177,44,139,14,5,503,7,0,0,1
5,6003386214,128,3,7,7,1227,0,287,6391,97,67,12,1,407,0,0,0,0
6,6003386214,129,5,6,0,1227,0,171,5732,71,5,9,1,244,0,0,0,0
7,6003386214,130,4,6,4,1227,0,382,9113,6,85,13,3,444,1,0,0,0
8,6003386214,131,4,10,2,1227,0,273,4472,69,45,9,0,265,0,0,0,0
9,6003386214,132,3,10,3,1227,0,195,9942,30,20,10,3,273,0,0,0,0
0,6003386106,0,9,1,14,1467,16526,657,22491,59,142,21,13,819,11,0,0,1
1,6003386106,1,16,6,1,1467,2444,392,15671,128,34,16,7,532,3,400,0,1
2,6003386106,2,8,4,10,1467,883,530,16783,110,133,17,7,596,3,468,0,1
3,6003386106,3,6,7,10,1467,7869,636,15395,12,169,18,12,662,2,0,0,1
4,6003386106,4,8,0,8,1467,78,332,9070,88,29,14,4,405,12,0,0,1
5,6003386106,128,9,12,3,1467,0,246,8796,68,10,10,2,229,0,0,0,0
6,6003386106,129,2,5,15,1467,0,452,4747,1,177,16,3,531,0,0,0,0
7,6003386106,130,8,11,4,1467,0,276,11638,104,38,13,2,398,0,660,0,0
8,6003386106,131,4,9,3,1467,0,375,10669,44,89,15,5,491,0,0,0,0
9,6003386106,132,3,7,4,1467,50,311,18451,45,57,13,5,367,1,0,0,0
0,6003385915,0,6,2,1,884,0,245,6178,31,19,8,3,276,3,400,0,1
1,6003385915,1,4,3,0,884,25,379,9600,59,63,10,5,391,2,0,0,1
2,6003385915,2,2,1,6,884,824,366,3196,12,86,10,0,397,1,0,0,1
3,6003385915,3,7,1,0,884,166,166,2691,87,5,8,0,309,3,0,0,1
4,6003385915,4,1,0,9,884,1053,484,5280,129,101,11,6,490,7,0,0,1
5,6003385915,128,3,5,0,884,0,195,2357,14,5,6,2,165,0,0,0,0
6,6003385915,129,2,1,0,884,366,419,4247,47,66,11,0,473,1,0,0,0
7,6003385915,130,1,2,5,884,0,628,3883,109,126,11,2,495,1,0,0,0
8,6003385915,131,2,2,4,884,66,275,4966,98,45,8,0,275,0,0,0,0
9,6003385915,132,2,5,4,884,0,159,4388,107,6,7,1,213,0,0,1,0
0,6003384804,0,2,3,4,954,684,216,5080,84,10,7,0,222,0,0,0,1
